Date	Time	Temperature (C)	Heater Status	Heater On/Off Set	Temperature Set (C)
11/11/2016	5:04:04 PM	23.75	0	0	20
11/11/2016	5:04:05 PM	23.75	0	0	20
11/11/2016	5:04:06 PM	23.75	0	0	20
11/11/2016	5:04:08 PM	23.75	0	0	20
11/11/2016	5:04:09 PM	24.00	0	0	20
11/11/2016	5:04:10 PM	23.75	0	0	20
11/11/2016	5:04:11 PM	24.00	0	0	20
11/11/2016	5:04:13 PM	23.75	0	0	20
11/11/2016	5:04:14 PM	23.75	0	0	20
11/11/2016	5:04:15 PM	23.75	0	0	20
11/11/2016	5:04:16 PM	23.75	0	0	20
11/11/2016	5:04:17 PM	23.75	0	0	20
11/11/2016	5:04:20 PM	24.00	0	0	35
11/11/2016	5:04:23 PM	23.75	0	1	35
11/11/2016	5:04:24 PM	23.75	1	1	35
11/11/2016	5:04:26 PM	23.75	1	1	35
11/11/2016	5:04:27 PM	24.00	1	1	35
11/11/2016	5:04:28 PM	24.00	1	1	35
11/11/2016	5:04:29 PM	24.25	1	1	35
11/11/2016	5:04:30 PM	24.25	1	1	35
11/11/2016	5:04:32 PM	24.50	1	1	35
11/11/2016	5:04:33 PM	24.75	1	1	35
11/11/2016	5:04:34 PM	25.25	1	1	35
11/11/2016	5:04:35 PM	25.50	1	1	35
11/11/2016	5:04:37 PM	25.75	1	1	35
11/11/2016	5:04:38 PM	26.00	1	1	35
11/11/2016	5:04:39 PM	26.25	1	1	35
11/11/2016	5:04:40 PM	26.50	1	1	35
11/11/2016	5:04:41 PM	26.75	1	1	35
11/11/2016	5:04:43 PM	27.25	1	1	35
11/11/2016	5:04:44 PM	27.25	1	1	35
11/11/2016	5:04:45 PM	27.50	1	1	35
11/11/2016	5:04:46 PM	27.75	1	1	35
11/11/2016	5:04:47 PM	28.00	1	1	35
11/11/2016	5:04:49 PM	28.00	1	1	35
11/11/2016	5:04:50 PM	28.00	1	1	35
11/11/2016	5:04:51 PM	28.25	1	1	35
11/11/2016	5:04:52 PM	28.25	1	1	35
11/11/2016	5:04:54 PM	28.25	1	1	35
